name,type,events,total_artists,notable_artists,is_target
TBA - LosT Beach Platja del Forum ,venue,1,5,1,False
Unplugbcn,venue,41,36,1,False
Torredembarra Open AIR Festival,venue,1,2,1,False
TBA - Lost Beach Barcelona Forum,venue,1,6,1,False
TBA - LA GUINGUETTE DU ROY,venue,2,2,1,False
TBA - Mad record shop - calle palma de sant just 9,venue,1,5,1,False
Bluesman Club,venue,9,9,1,False
TBA - Cursi Mansion,venue,1,5,1,False
TBA - Level Granollers,venue,1,5,1,False
Skate Love Barcelona,venue,3,4,1,False
Oasis Hotel Rooftop,venue,1,1,1,False
La Deskomunal,venue,4,6,1,False
Otto Zutz,venue,28,10,1,False
E66,venue,1,1,1,False
Munay Beach Club,venue,1,3,1,False
Cervecera Almogavers,venue,1,3,1,False
TBA - Secret Mansion,venue,1,4,1,False
"TBA - Jardins de Magalí (Carrer del Vallespir, 194, Les Corts, 08014 Barcelo",venue,1,5,1,False
TBA - KTRSIS,venue,1,3,1,False
TBA - SECRET GREENHOUSE,venue,1,4,1,False
TBA - Un lugar Mágico.,venue,1,9,1,False
TBA - Locacion Secreta,venue,1,4,1,False
Diggin' at Vraba,venue,2,12,1,False
"TBA - Secret Warehouse (La Pau, BCN)",venue,1,5,1,False
TBA - SECRET MANSION - BARCELONA CENTRE,venue,1,3,1,False
TBA - Mad Record Shop (Calle Palma de Sant Just 9) ,venue,2,7,1,False
TBA - Rambla de Catalunya,venue,1,5,1,False
TBA - Secret Warehouse (Barcelona),venue,3,5,1,False
Seawolf Records,venue,1,4,1,False
TBA - Secret Location (Private Villa),venue,2,3,1,False
TBA - Carrer d´aribau 191,venue,1,4,1,False
Plaza Urquinaona,venue,2,3,1,False
Curtis Audio Cafe,venue,1,1,1,False
Theodora Extra,venue,2,1,1,False
Shôko,venue,1,1,1,False
Penny Banger,venue,2,1,1,False
"TBA - MOTOR OIL, Carrer Ample 46, Barceloneta ",venue,2,4,1,False
TBA - Sala Las Vegas ,venue,1,1,1,False
"TBA - Mad Radio - Carrer de Sant Pere mes alt 31, ciutat vella",venue,1,4,1,False
SOUND HUB,promoter,33,7,1,False
Barcelona Rooftop Parties,promoter,112,8,1,False
OhBlah,promoter,5,2,1,False
D.E.R. Events,promoter,3,4,1,False
Club Expansivo,promoter,4,13,1,False
Skylabbcn,promoter,46,9,1,False
Disco Fever,promoter,36,4,1,False
80's Rooftop,promoter,27,3,1,False
vermell,promoter,2,5,1,False
We sounds,promoter,125,2,1,False
Deprerreo,promoter,7,12,1,False
Aperitivo House Club,promoter,3,6,1,False
WARE IGUALADA,promoter,1,3,1,False
Attitude,promoter,1,1,1,False
NO ALIBI,promoter,5,12,1,False
Lumya,promoter,4,14,1,False
CHAPTERS,promoter,10,9,1,False
ANGEL GARCIA PEREZ ,promoter,1,1,1,False
INTERNAL OPERATOR,promoter,2,4,1,False
Organikka,promoter,6,3,1,False
Re.Clubbing,promoter,11,20,1,False
Planet Venus,promoter,4,9,1,False
Hook,promoter,6,10,1,False
DOPPLER SPACE,promoter,4,4,1,False
Atik,promoter,27,6,1,False
SIDE MUSIC BCN,promoter,3,10,1,False
ITEM,promoter,4,5,1,False
Housy,promoter,38,5,1,False
House of Ley,promoter,1,4,1,False
MÖDULAR KOLLEKTV,promoter,2,1,1,False
[Hi-Fi],promoter,1,2,1,False
babylon.bcn,promoter,2,1,1,False
MAGICROOM__,promoter,4,18,1,False
Mihai Latis,promoter,5,12,1,False
Oxido,promoter,1,2,1,False
Ladradora,promoter,1,2,1,False
Matraca,promoter,2,6,1,False
PANDA House Club,promoter,2,1,1,False
Laura Ibáñez,promoter,2,3,1,False
Classparties,promoter,1,4,1,False
Melodeep,promoter,3,7,1,False
Island Noize,promoter,1,4,1,False
KINYXX,promoter,8,8,1,False
Jokkoo,promoter,3,6,1,False
OpenLab,promoter,2,3,1,False
La Perla Barcelona,promoter,13,2,1,False
Teuf Kulture Barcelona,promoter,4,7,1,False
Pineapple Electronic Events,promoter,3,1,1,False
Ecolecua,promoter,1,2,1,False
Bondance,promoter,2,7,1,False
TORO,promoter,1,3,1,False
Distorted_bcn,promoter,1,3,1,False
Ritmo Nativo,promoter,5,6,1,False
BANDARRA REMEMBER FESTIVAL ,promoter,2,2,1,False
LUSTME CLUB,promoter,2,6,1,False
Moods,promoter,37,12,1,False
La Perla Private Club Barcelona,promoter,20,4,1,False
Crime Lése,promoter,1,4,1,False
El gato negro - Gràcia,promoter,39,13,1,False
Disco Marisco,promoter,1,3,1,False
Rooftop Tapes,promoter,2,4,1,False
Zilzal Platform,promoter,3,17,1,False
DISCURSIVA,promoter,2,8,1,False
Houseum,promoter,1,4,1,False
Miguel Recio ,promoter,1,2,1,False
Histoire d'un Soir ,promoter,2,5,1,False
High Fade,promoter,1,1,1,False
Garage Kidds,promoter,2,2,1,False
Presabene,promoter,4,4,1,False
Felix Holzhauser - MGNFY,promoter,1,1,1,False
Cami Sosa,promoter,2,1,1,False
Mirrors,promoter,2,6,1,False
Windcatcher Production,promoter,1,1,1,False
Georgia Records,promoter,1,1,1,False
George Ainslie,promoter,1,1,1,False
Fabricio Oliveira,promoter,4,13,1,False
CELOSOPHY,promoter,2,3,1,False
AcidCandle,promoter,7,9,1,False
Petit Comité of House,promoter,9,5,1,False
wayout.ldn,promoter,1,6,1,False
Ritmo Futuro,promoter,1,5,1,False
Majesty,promoter,3,9,1,False
MELOMANIE,promoter,2,4,1,False
Desde adentro,promoter,3,10,1,False
The Magic Sun,promoter,2,5,1,False
Asociación Cultural D_LATIA,promoter,1,5,1,False
Bademuzik,promoter,3,2,1,False
Funky fruits,promoter,1,2,1,False
Cabana Libre,promoter,1,7,1,False
Xeii,promoter,2,15,1,False
felii,promoter,2,15,1,False
BrunchCast Music,promoter,3,7,1,False
KRANK,promoter,6,8,1,False
Xavi Sinthetic,promoter,1,6,1,False
CELOSIA,promoter,3,4,1,False
Distortion Unidad Records,promoter,2,4,1,False
Departure Label,promoter,3,11,1,False
CLUB FANTAZIA,promoter,2,2,1,False
DCS4 Agency,promoter,1,5,1,False
Mari Delgado ,promoter,1,1,1,False
GK Records,promoter,1,1,1,False
hello.indomita,promoter,13,14,1,False
sinergia.music,promoter,2,3,1,False
Pablo Maneiro,promoter,1,4,1,False
Drivin',promoter,8,8,1,False
Junika,promoter,2,4,1,False
Hypnotic,promoter,8,5,1,False
AZUL CLUB,promoter,12,6,1,False
Beatlab,promoter,6,11,1,False
Echoes of Karma,promoter,3,4,1,False
Wavesfm ,promoter,1,3,1,False
,promoter,1,3,1,False
berecat,promoter,3,9,1,False
NATE LEE,promoter,1,3,1,False
Max Dcibel aka Maxupiciu,promoter,1,5,1,False
Panbarlab SL,promoter,3,4,1,False
Sagitaria,promoter,1,3,1,False
2CPERREA,promoter,1,5,1,False
Drakis Barcelona,promoter,1,5,1,False
Island of Angels,promoter,1,5,1,False
Synchrostation,promoter,2,3,1,False
Sonidos Flotantes,promoter,1,2,1,False
Portal,promoter,1,5,1,False
PLGRN Milano,promoter,1,1,1,False
HVOB,promoter,1,1,1,False
Inherencia Events,promoter,2,7,1,False
vazz,promoter,2,7,1,False
pulsar,promoter,6,18,1,False
Doings Entertainment,promoter,1,1,1,False
#ketapasando,promoter,1,4,1,False
Day Of The Droids,promoter,1,4,1,False
Flux Æterna,promoter,1,3,1,False
4ones.net,promoter,1,3,1,False
Coda Ground,promoter,2,5,1,False
Avoiding The Issue,promoter,1,2,1,False
Antic,promoter,1,2,1,False
Dogma,promoter,1,3,1,False
Moonamour BCN,promoter,5,15,1,False
Adriana Gutierrez,promoter,3,3,1,False
Machangomusic,promoter,1,2,1,False
Oscar Castellanos,promoter,4,7,1,False
HORIZONS,promoter,1,4,1,False
MrBarney,promoter,2,2,1,False
KOOLLAGE,promoter,1,4,1,False
Sinergia Music,promoter,2,5,1,False
Zapped,promoter,1,3,1,False
Pure Wax,promoter,2,4,1,False
Siko Tech,promoter,1,2,1,False
SikoTech,promoter,1,2,1,False
Destination,promoter,2,6,1,False
Gatzara Sound,promoter,2,2,1,False
KUZZAPOPY,promoter,3,1,1,False
Missing Page Records,promoter,1,5,1,False
Buffoona,promoter,1,3,1,False
Cory John Scozzari,promoter,1,5,1,False
DK_,promoter,1,1,1,False
EXORA,promoter,2,5,1,False
Matias Mendez,promoter,1,2,1,False
Enem Sunet ,promoter,1,2,1,False
Vulture,promoter,1,4,1,False
Sideways,promoter,1,4,1,False
Clubkids Records,promoter,1,3,1,False
Symbiotical Records,promoter,1,4,1,False
moveyourbody,promoter,1,4,1,False
Supervibe Music,promoter,1,4,1,False
Mund Radio,promoter,2,3,1,False
Nicole Karev,promoter,1,1,1,False
N-EAR,promoter,2,3,1,False
Palaï,promoter,2,1,1,False
bradeazy,promoter,1,1,1,False
UNCHAIN,promoter,1,1,1,False
La Pocilga,promoter,1,4,1,False
SIDEWAYS COLLECTIVE,promoter,1,4,1,False
Overthink Records,promoter,1,3,1,False
mondreo,promoter,1,1,1,False
XENIA CLUB,promoter,1,2,1,False
Akindra,promoter,1,2,1,False
House al Parc,promoter,1,3,1,False
Sharameet,promoter,1,4,1,False
Dreamers,promoter,1,4,1,False
TBA - SECRET LOCATION  (Plaza Catalunya - Eixample),venue,4,3,0,False
TBA - Casa Moura - Cristobal de Moura 105,venue,1,4,0,False
Club Soda,venue,5,3,0,False
Diobar,venue,6,1,0,False
Farola,venue,55,17,0,False
18,venue,11,2,0,False
Samambahia,venue,7,2,0,False
Can Luis,venue,14,18,0,False
New Bananas BCN,venue,10,7,0,False
Mercat del Passatge,venue,1,4,0,False
Generator Barcelona,venue,11,7,0,False
"TBA - Tennis Club Badalona -Carrer de Joan d'Àustria, 58-60, 08915 Badalona, Barcelona",venue,1,3,0,False
Terrassa Voramar,venue,1,1,0,False
Jaiba MX,venue,1,2,0,False
La Mansion Coworking,venue,1,4,0,False
TBA - Flor Gelato,venue,1,2,0,False
Soho House Barcelona,venue,6,2,0,False
"TBA - Hermita del Roser, Sant Climent del Llobregat",venue,1,4,0,False
Sala River,venue,4,6,0,False
L'Occulta,venue,2,2,0,False
Fabra I Coats,venue,2,4,0,False
Fluid,venue,8,5,0,False
Sauvage Swinger Club,venue,12,11,0,False
Mirablau Club,venue,4,5,0,False
Ce La Vi,venue,3,6,0,False
L'automàtica,venue,1,1,0,False
Sauvage Club,venue,2,3,0,False
TBA - Jardins tres chimeneas Poble Sec,venue,1,2,0,False
Wake Up • Day Club,venue,1,3,0,False
Polaroid,venue,3,7,0,False
TBA - CLUB BOXA GRAN PRICE,venue,1,2,0,False
Estruch Bar,venue,3,1,0,False
Pagano Barcelona,venue,2,2,0,False
TBA - Reflejo 44,venue,1,5,0,False
EL Sielu,venue,4,1,0,False
Space Cowboy,venue,5,1,0,False
45/33 Bar,venue,6,5,0,False
Pl. Sant Agustí,venue,1,1,0,False
Nativa Chiringuito,venue,4,8,0,False
Canluisbar,venue,1,3,0,False
"TBA - Parc Jordi Vilamitjana, Girona",venue,1,2,0,False
TBA - Paam Project Gallery ,venue,2,2,0,False
TBA - GOLDEN CLUB ,venue,1,3,0,False
Ona Discoteca,venue,3,4,0,False
TBA - Secret Location Mansion - Near Plaza Cataluña,venue,2,6,0,False
"Jardins de la Devesa, Girona",venue,1,3,0,False
Sala Salamandra,venue,5,1,0,False
TBA - BUENA ONDA SOLCIAL CLUB,venue,2,1,0,False
Mau Mau,venue,1,3,0,False
"TBA - El gato negro: C/ Sant Lluis 47, Gràcia - Barcelona",venue,5,2,0,False
EL Molino,venue,2,2,0,False
TBA - Latin Palace Rooftop,venue,1,2,0,False
Botánic Miramar,venue,3,2,0,False
TBA - Les Quadres de Cal Reig,venue,1,3,0,False
Secret Rooftop,venue,3,2,0,False
Materic.ORG - Espacio de Arte de Performance,venue,1,1,0,False
Gran Hotel Havana,venue,14,1,0,False
TBA - Secret Location MANSION,venue,1,3,0,False
TBA - SAUVAGE SWINGER CLUB,venue,1,2,0,False
Habana Blue Chiringuito,venue,2,6,0,False
Duvet Barcelona,venue,3,6,0,False
TBA - Poblenou Community Radio,venue,1,5,0,False
Keanu Izakaya Bar,venue,2,3,0,False
TBA - Secret Location (Limited Capacity),venue,1,4,0,False
"TBA - EL NOA NOA, Carrer de Villarroel, 71, L'Eixample, 08015 Barcelona",venue,1,1,0,False
TBA - Mansion Near Plaça Catalunya,venue,2,4,0,False
Never,venue,9,4,0,False
Almanac,venue,6,7,0,False
Area 420,venue,1,2,0,False
Palau Alòs,venue,1,1,0,False
Altell Mescladís,venue,3,1,0,False
EX,venue,1,1,0,False
TBA - Moco Museum,venue,1,1,0,False
TBA - Reus (Parc de Mas Iglesias),venue,1,3,0,False
TBA - Vermuteria Santa Rita (Manresa),venue,1,1,0,False
TBA - Radio Station,venue,1,2,0,False
TBA - Vida Festival (Vilanova),venue,1,1,0,False
Mítics Club,venue,3,11,0,False
TBA - Secret Location close to Hostalric,venue,2,4,0,False
"TBA - l'Avenc, Carrer de l'Avenc, 37, 43840 Xalets de Salou, Tarragona",venue,1,1,0,False
"TBA - EL NOA NOA, C/ Villarroel 71, 08015 Barcelona",venue,1,1,0,False
Discoteca Ona,venue,2,2,0,False
TBA - Espai Vapor 2025 (Terrassa),venue,1,1,0,False
TBA - maymanta rooftop,venue,3,4,0,False
Hotel Nautic Park — Platja D’Aro,venue,7,9,0,False
Scorpia,venue,1,4,0,False
Dreamboat Bar & Deli,venue,6,2,0,False
"TBA - Sala Nexus, Discoteca Ona",venue,2,3,0,False
Atheneu Santboiá,venue,3,3,0,False
TBA - Hipica in Montjuic,venue,1,6,0,False
Papillon Platja D'aro,venue,2,1,0,False
Impact Hub,venue,1,2,0,False
Jacqueline Barcelona,venue,1,1,0,False
Shimmy Gallery,venue,2,1,0,False
The Club 191,venue,2,3,0,False
Charlzz,venue,3,4,0,False
Sospechoso Bar,venue,1,1,0,False
Forum,venue,1,8,0,False
Nori Matcha,venue,1,1,0,False
TBA - Festa Major Martorell 2025 (Martorell),venue,1,1,0,False
TBA - Vilassar de Mar (La Caleta),venue,1,3,0,False
TBA - Sala Or,venue,1,1,0,False
TBA - Uniq Sitges,venue,1,2,0,False
TBA - Open Air - Barcelona Special Location ,venue,1,1,0,False
Cristal Disco Pub,venue,3,3,0,False
Luv Bar,venue,2,2,0,False
"Monk Bar, Timeout Market",venue,2,3,0,False
TBA - Mansion Near Plaza Catalunya -  LOCATION VIA INSTAGRAM,venue,1,3,0,False
"TBA - La Miranda Asociació Cultural (Av. del Coll del Portell, 74)",venue,1,3,0,False
"TBA - Platja del Forum, Carrer de la Pau, 08930, Sant Adrià de Besos, Barcelona",venue,1,7,0,False
TBA - MONTJUIC,venue,1,2,0,False
TBA - Selva del Mar 140,venue,1,6,0,False
TBA - SECRET LOCATION MANSION - BARCELONA CENTRE,venue,4,10,0,False
Hotel El Avenida Palace,venue,7,1,0,False
Pla de Palau,venue,3,1,0,False
TBA - Hotel Niu Barcelona,venue,1,1,0,False
TBA - LosT Beach Platja Del Forum BCN,venue,1,5,0,False
TBA - Secret Garden Location (Outside Barcelona),venue,1,2,0,False
Barraca Restaurant,venue,1,1,0,False
TBA - PLATJA DEL FORUM BARCELONA ,venue,1,5,0,False
TBA - Secret Location in Gracia,venue,1,1,0,False
"TBA - Sala Zero, Carrer de Sant Magí, 12, 43004 Tarragona",venue,1,1,0,False
Montjuic,venue,1,2,0,False
TBA - LosT Beach Platja litoral Barcelona ,venue,1,3,0,False
TBA - XL Xtralrge (Valencia),venue,1,1,0,False
TBA - SB RAMPS,venue,1,4,0,False
Mas Maria,venue,1,1,0,False
TBA - Poblenou,venue,1,1,0,False
TBA - El Sielu (Manresa),venue,2,1,0,False
TBA - Verne: C/ Aribau 150,venue,1,4,0,False
TBA - SECRET LOCATION ALFONS X METRO L4,venue,1,3,0,False
TBA - Poble Nou,venue,5,1,0,False
Perros Mediterraneos,venue,1,1,0,False
Amateur,venue,1,1,0,False
Sabda,venue,23,6,0,False
La Infinita de L'hospitalet,venue,1,1,0,False
Dilla Barcelona,venue,1,1,0,False
Club Vermell,venue,1,1,0,False
"TBA - HALVEMAANSTEEG 14, AMSTERDAM",venue,1,1,0,False
El Caso Born,venue,1,1,0,False
"TBA - Club 23, 5 min. from Pl. Catalunya, 08007, Barcelona",venue,1,4,0,False
"TBA - KINYXX WAREHOUSE - Carrer del Plom 1, Barcelona",venue,3,3,0,False
Seayou Restaurant,venue,1,2,0,False
TBA - RECREO BAR GÓTICO ,venue,1,1,0,False
TBA - Sideral / Katharsis,venue,1,4,0,False
Just Pita &BAR,venue,2,2,0,False
Holalà Ribes Rojes,venue,1,1,0,False
TBA - Parallel62,venue,2,2,0,False
TBA - hostel amistat city,venue,3,1,0,False
TBA - Parada de metro L4 Alfons X,venue,1,2,0,False
El Kiff,venue,1,2,0,False
Gruv,venue,1,1,0,False
Lennon's Club,venue,22,1,0,False
Nomad House,venue,1,4,0,False
2046 Granollers,venue,1,2,0,False
"TBA - Mont, Barcelona",venue,1,1,0,False
"TBA - Carrer d'Aribau, 191, Sarrià-Sant Gervasi, 08021 Barcelona",venue,1,1,0,False
Oasys,venue,5,9,0,False
BAR Mariatchi,venue,4,1,0,False
Tehran Bar,venue,1,1,0,False
TBA - Central Barcelona secret location,venue,2,7,0,False
The Bonding Hub,venue,3,4,0,False
"TBA - Carrer Creu Coberta, 100",venue,1,3,0,False
TBA - Secret Location Metro L4(Alfons X),venue,1,2,0,False
TBA - XTR∆ R∆DI,venue,1,1,0,False
"TBA - Sunday Mansion, Streets: Rambla Catalunya x Gran Via de Les Corts Catalanes, 08007, Barcelona / +34 692 819 957",venue,1,5,0,False
Inspiral,venue,1,2,0,False
"TBA - Maraña - Rambla de Catalunya, 65",venue,1,3,0,False
Ogham,venue,1,2,0,False
La Biblio Barcelona,venue,5,1,0,False
TBA - MIG BARCELONA,venue,1,1,0,False
TBA - EAST BARCELONA ,venue,2,3,0,False
Libertine (Casa Bonay),venue,1,1,0,False
Strain Hunters Club,venue,1,1,0,False
"TBA - Carrer d'Alfons XII, 8, Sarrià-Sant Gervasi, 08006 Barcelona",venue,1,4,0,False
TBA - LA COUR DES MIRACLES - BEZIERS  ,venue,1,3,0,False
TBA - MOTOR OIL CARRER AMPLE 46 BARCELONA,venue,1,3,0,False
TBA - Vida For Musicians (Vilanova),venue,1,1,0,False
Negro y Rojo,venue,1,1,0,False
RE-Clubbing X-MAS Gathering Barcelona,venue,1,5,0,False
TBA - MALOA Club (Sabadell),venue,2,1,0,False
Can Fugarolas,venue,1,1,0,False
TBA - VRABA,venue,1,3,0,False
Bifragma Discos,venue,1,4,0,False
Secret Garden BCN,venue,1,4,0,False
"TBA - Moll d'espanya 8 , Barcelona ( Port Vell)",venue,1,3,0,False
Mamut Beach Club,venue,2,7,0,False
Marula Cafe,venue,4,1,0,False
TBA - Terminal Zero,venue,5,2,0,False
Hotel SLS Barcelona,venue,2,3,0,False
TBA - C/Carme 33 (Raval),venue,1,5,0,False
Restaurant MOS Cadaqués,venue,1,2,0,False
"TBA - CALLE BADAJOZ 115, 08018 BARCELONA",venue,1,5,0,False
TBA - ULTRA BAR SITGES ,venue,1,1,0,False
TBA - Secret Rooftop in Gracia,venue,1,1,0,False
Porteño Cocktail Bar,venue,1,1,0,False
TBA - Rambla catalunya 65,venue,1,2,0,False
TBA - secret record store (city center),venue,1,3,0,False
Palau Dalmases,venue,3,3,0,False
TBA - Sala Padró ,venue,2,1,0,False
Sala Oasys,venue,1,2,0,False
TBA - MOTOR OIL BCN,venue,3,2,0,False
TBA - Vraba Terrace,venue,1,4,0,False
L’Ovella Negra,venue,1,1,0,False
TBA - Dolcevita Boqueria,venue,1,2,0,False
Choko,venue,3,4,0,False
TBA - Seawolf Records ,venue,1,3,0,False
TBA - L'AMOROSO - AVINGUIDA DIAGONAL 423,venue,2,6,0,False
TBA - private rooftop (marina metro station),venue,2,9,0,False
TBA - Revelaremos la ubicación el mismo día del evento.,venue,1,1,0,False
Lab Twenty Two,venue,2,2,0,False
TBA - Can Balmes (Santa Maria de Palautordera),venue,1,2,0,False
"TBA - CARRER DE LA VOLTA DELS TAMBORETS, 5 BARCELONA",venue,1,2,0,False
"TBA - Carrer Ample, 46 (MOTOR OIL CLUB)",venue,1,1,0,False
TBA - American Lake Gavà,venue,1,2,0,False
"TBA - Secret Location, Poblenou - 1min by Metro Marina",venue,1,2,0,False
Ultra.Sitges,venue,1,3,0,False
"TBA - Moll d'Espanya, 8, Ciutat Vella, 08039 Barcelona",venue,1,2,0,False
TBA - ROOTS AUDIOPHILE ,venue,1,2,0,False
Perritos Calientes,venue,1,4,0,False
TBA - Barcelona secret location,venue,1,6,0,False
TBA - Exact location to be shared with ticket holders before the event,venue,1,3,0,False
Maloa Club Sabadell,venue,1,3,0,False
Re-Clubbing & Roots Basement,venue,1,8,0,False
Bonavista Rooftop,venue,1,3,0,False
La Terraza de Anna by Vida Mona,venue,4,5,0,False
Rei de Copes,venue,2,1,0,False
Ateneu del Raval,venue,1,1,0,False
Cuatro Club,venue,2,3,0,False
Wydwwyh,venue,1,4,0,False
Baldona,venue,1,1,0,False
TBA - Federal Café Sant Antoni,venue,1,1,0,False
TBA - Sala Ricson - Hangar,venue,2,4,0,False
Django Surf House,venue,1,1,0,False
TBA - Secret Location in Selva de Mar,venue,1,5,0,False
"TBA - carrer Alfons XII,8,08006",venue,1,4,0,False
Llibreria Byron,venue,1,1,0,False
Elbus Barcelona,venue,3,6,0,False
TBA - RUTA N2 URBAN FOOD (BADALONA-MONTGAT),venue,1,4,0,False
TBA - Secret location L2 Sant Martí,venue,1,2,0,False
"TBA - Carrer Corretger, 5",venue,1,1,0,False
"TBA - Vía laietana 64 , Barcelona ",venue,1,1,0,False
TBA - Theodora Extra ,venue,1,1,0,False
TBA - Magnifico Club - Magic (Bcn),venue,1,1,0,False
"TBA - CARRER DEL COMERÇ, 21",venue,5,3,0,False
TBA - Sun Sea Bar Beach Club at Platja del Forum,venue,1,4,0,False
TBA - Secret location in Poblenou,venue,1,1,0,False
NEFS,promoter,1,2,0,False
NEFS BCN,promoter,2,2,0,False
Club 86,promoter,1,5,0,False
Yallah Barcelona,promoter,4,3,0,False
Sezen Entertainment,promoter,4,2,0,False
NAVEART,promoter,1,2,0,False
Certain Music Records,promoter,1,3,0,False
wOnK BCN,promoter,18,9,0,False
Funky Summer Vibes,promoter,19,1,0,False
Afrodita,promoter,2,2,0,False
"Deep, Tech, House",promoter,50,2,0,False
Empty 6 Pack,promoter,2,1,0,False
Hop on The Top,promoter,9,3,0,False
GROOVERS GONNA GROOVE,promoter,9,11,0,False
EVENTS BARCELONA,promoter,47,11,0,False
GROOVY Inc.,promoter,2,1,0,False
LOOP BCN,promoter,1,2,0,False
PRISMATICA,promoter,5,13,0,False
Folia Sounds,promoter,5,3,0,False
Special Delivery,promoter,2,2,0,False
Fragment A,promoter,5,6,0,False
ESQUIRLA,promoter,1,1,0,False
KI.K_BCN,promoter,3,6,0,False
Gravity Collective,promoter,1,4,0,False
Apocaliptica,promoter,1,4,0,False
Psicodelika-Events,promoter,14,2,0,False
Communion,promoter,1,2,0,False
Barna Groove,promoter,3,7,0,False
Jakt:IN,promoter,3,7,0,False
Zenith,promoter,1,5,0,False
B SIDE,promoter,1,2,0,False
TANTRÜMofc,promoter,1,2,0,False
All We Humans,promoter,6,7,0,False
OXYDSYSTEMS,promoter,3,1,0,False
Calçotada Electrónica ,promoter,2,2,0,False
HyperClubBCN,promoter,1,2,0,False
Ellie Nor,promoter,1,2,0,False
Juanguerra23,promoter,8,14,0,False
MOOVIN,promoter,1,3,0,False
Throwback,promoter,11,3,0,False
The 90s Party,promoter,3,1,0,False
Moonamour ,promoter,2,3,0,False
Bonkers,promoter,1,2,0,False
Lemon Agency Events,promoter,7,2,0,False
Gola,promoter,2,4,0,False
Funk It!,promoter,8,12,0,False
Juan guerra,promoter,7,9,0,False
Thoid Channel,promoter,1,4,0,False
DiscoSour,promoter,1,2,0,False
Kate,promoter,14,1,0,False
Palmito Group,promoter,1,3,0,False
Dystopia,promoter,2,1,0,False
Titi Calor,promoter,1,4,0,False
PISTA! KOLEKTIVE,promoter,1,1,0,False
South Plug,promoter,9,2,0,False
vinyagroupmusic,promoter,4,6,0,False
Dejaboom,promoter,1,2,0,False
BOND Events,promoter,1,2,0,False
Mango Latin Fest,promoter,1,2,0,False
Rodo Garcia,promoter,1,2,0,False
Club Clap Back,promoter,5,4,0,False
El Mambo,promoter,1,1,0,False
Post Panic,promoter,1,3,0,False
K ó s m i c,promoter,1,4,0,False
Luca Barbieri ,promoter,16,27,0,False
¡oyna!,promoter,4,3,0,False
Bhasti B,promoter,1,2,0,False
SUBconscious BCN,promoter,5,11,0,False
Funky Salad,promoter,3,3,0,False
Deliann,promoter,1,1,0,False
Cucumelo producciones ,promoter,4,3,0,False
Pantha Pit,promoter,1,2,0,False
Pantha,promoter,5,2,0,False
The Dollhouse BCN,promoter,1,3,0,False
EDIT ALGARVE,promoter,3,1,0,False
9000,promoter,1,1,0,False
Cloud 9 Sound System,promoter,3,4,0,False
In essence,promoter,2,6,0,False
plurALL,promoter,2,7,0,False
Kumbia Psicodelika,promoter,1,1,0,False
Awaken,promoter,5,2,0,False
Carlos De Castro,promoter,4,3,0,False
Synestepside,promoter,1,4,0,False
maadraassoo,promoter,50,1,0,False
TheRoom.404,promoter,6,2,0,False
Zayra,promoter,1,2,0,False
Mutarte.Experience,promoter,1,1,0,False
Sonder Oficial,promoter,1,4,0,False
Prymal,promoter,6,2,0,False
Onda Tropikal,promoter,1,1,0,False
Lemon Eye Records,promoter,3,7,0,False
Nau Collective,promoter,3,7,0,False
SpinnArts,promoter,4,4,0,False
Kaze Club,promoter,5,5,0,False
MASI.TECH,promoter,1,2,0,False
TUDANZAS,promoter,1,1,0,False
PreKum,promoter,1,4,0,False
SAYARI,promoter,3,2,0,False
TS.MUSICCLUB,promoter,4,3,0,False
THE MINIMAL LEGENDS,promoter,2,2,0,False
Casacinco Sessions,promoter,1,6,0,False
Pflugschar Collective,promoter,1,6,0,False
I.LEGAL Collective,promoter,1,2,0,False
Obi Nwizugbo (Richard Creams),promoter,1,2,0,False
Haus of Welcome Productions ,promoter,1,2,0,False
Big Kharma,promoter,3,9,0,False
Adrenalog,promoter,2,4,0,False
Pepita Royal,promoter,6,7,0,False
I.LEGAL,promoter,7,5,0,False
T-Music Group,promoter,2,2,0,False
RHC,promoter,2,3,0,False
Associació 33 45,promoter,1,3,0,False
solki,promoter,1,2,0,False
Barbatus D. Wreckords,promoter,1,2,0,False
renzomichelena@gmail.com,promoter,3,2,0,False
Dead Air Disco,promoter,1,3,0,False
Playgirlparty,promoter,4,8,0,False
RicardoDias,promoter,1,4,0,False
Carmatronica,promoter,1,4,0,False
Carmatronica (EU),promoter,1,4,0,False
Barcelona Digital Nomads,promoter,4,3,0,False
Rytmika,promoter,1,3,0,False
afterworkbcn,promoter,1,5,0,False
Disco Exotic,promoter,2,5,0,False
BOTANIC MIRAMAR,promoter,3,2,0,False
KeepSilent,promoter,5,7,0,False
Dymension,promoter,3,3,0,False
Vibesliveorficial,promoter,2,2,0,False
WAD Sessions,promoter,3,6,0,False
La Flia Society,promoter,9,1,0,False
red.,promoter,19,6,0,False
LUXUS,promoter,4,5,0,False
Wayuuwa Tribe,promoter,1,1,0,False
Liquid Spirit,promoter,1,1,0,False
Video Jam,promoter,1,1,0,False
Andim,promoter,1,2,0,False
Vicious Events,promoter,1,6,0,False
GERMEN,promoter,1,2,0,False
INNER CIRCLE AGENCY,promoter,2,10,0,False
Soundwave BCN,promoter,3,5,0,False
Barcelona Coffee Rave,promoter,8,2,0,False
Duvet,promoter,1,3,0,False
Fänk Party ,promoter,4,6,0,False
